schemaname,table_name,row_count
public,analytics_contributions,0
public,analytics_demographics,0
public,analytics_events,1
public,audit_logs,0
public,bias_detection_logs,0
public,biometric_auth_logs,0
public,biometric_trust_scores,0
public,breaking_news,4
public,campaign_finance,0
public,candidate_jurisdictions,0
public,candidates,2
public,civic_jurisdictions,4
public,civics_feed_items,0
public,contributions,0
public,data_checksums,2
public,data_licenses,6
public,data_lineage,0
public,data_quality_audit,0
public,data_quality_checks,1
public,data_quality_metrics,0
public,data_sources,3
public,data_transformations,0
public,dbt_freshness_sla,13
public,dbt_test_config,15
public,dbt_test_execution_log,0
public,dbt_test_results,0
public,elections,0
public,error_logs,0
public,fact_check_sources,0
public,fec_candidate_committee,0
public,fec_candidates,0
public,fec_committees,0
public,fec_contributions,0
public,fec_cycles,5
public,fec_disbursements,0
public,fec_independent_expenditures,0
public,fec_ingest_cursors,6
public,feedback,33
public,generated_polls,3
public,id_crosswalk,45
public,idempotency_keys,0
public,independence_score_methodology,1
public,ingest_cursors,0
public,jurisdiction_aliases,3
public,jurisdiction_geometries,0
public,jurisdiction_tiles,3
public,latlon_to_ocd,6
public,location_consent_audit,0
public,media_polls,1
public,media_sources,9
public,migration_log,24
public,news_fetch_logs,0
public,news_sources,7
public,poll_contexts,0
public,poll_generation_logs,0
public,polls,212
public,privacy_logs,0
public,private_user_data,0
public,quality_metrics,0
public,rate_limits,0
public,redistricting_history,0
public,representative_activity,0
public,representative_campaign_finance,0
public,representative_contacts,0
public,representative_photos,0
public,representative_social_media,1
public,representative_voting_records,0
public,representatives_core,190
public,security_audit_log,31
public,site_messages,3
public,state_districts,4
public,system_configuration,0
public,trending_topics,6
public,user_civics_preferences,0
public,user_consent,0
public,user_location_resolutions,0
public,user_profiles,19
public,user_profiles_encrypted,0
public,votes,3
public,voting_records,0
public,webauthn_challenges,0
public,webauthn_credentials,0
public,zip_to_ocd,7